12
3	0.000000	121.633070	124.111641	125.754729	151.355924	150.161422	151.844661	154.797156	155.692818	153.510634	153.542926	157.244173	
6	121.633070	0.000000	73.573166	111.771612	151.151974	150.131928	151.983257	154.463292	152.579029	153.217368	152.180773	153.434860	
12	124.111641	73.573166	0.000000	114.017417	150.885008	149.528862	149.864516	153.156986	151.384742	151.653634	149.198107	151.573282	
9	125.754729	111.771612	114.017417	0.000000	148.755382	148.615509	150.981201	153.197279	153.464950	151.762872	151.126818	152.650883	
4	151.355924	151.151974	150.885008	148.755382	0.000000	96.230276	152.074501	151.027954	150.724043	150.286995	151.029211	152.803157	
2	150.161422	150.131928	149.528862	148.615509	96.230276	0.000000	153.630619	153.359115	152.486026	152.152416	153.959178	153.686024	
10	151.844661	151.983257	149.864516	150.981201	152.074501	153.630619	0.000000	148.873768	151.660296	153.358959	150.656406	149.825797	
7	154.797156	154.463292	153.156986	153.197279	151.027954	153.359115	148.873768	0.000000	118.495388	152.456541	153.303635	156.074264	
1	155.692818	152.579029	151.384742	153.464950	150.724043	152.486026	151.660296	118.495388	0.000000	151.040788	153.532255	154.151218	
8	153.510634	153.217368	151.653634	151.762872	150.286995	152.152416	153.358959	152.456541	151.040788	0.000000	152.489069	151.634976	
5	153.542926	152.180773	149.198107	151.126818	151.029211	153.959178	150.656406	153.303635	153.532255	152.489069	0.000000	129.907202	
11	157.244173	153.434860	151.573282	152.650883	152.803157	153.686024	149.825797	156.074264	154.151218	151.634976	129.907202	0.000000	
